OpenFork Discoveries — 2026-08-09
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

115. VexilonHacker/OverQuack | Advanced Rubber Ducky-style HID tool for all Raspberry Pi Pico models with wireless support and enhanced functionality. | JavaScript | 20 stars | GPL-2.0 | https://github.com/VexilonHacker/OverQuack
116. Radexito/DjManager | Your music library, built for DJs. Import tracks, analyse BPM and key automatically, build playlists, and prepare sets — all offline, all on your machine. | JavaScript | 20 stars | MIT | https://github.com/Radexito/DjManager
117. hydroCoderClaud/cc-desktop | Hydro Desktop — A native desktop workspace for Claude Code, with project-based agents, Notebooks, capability management, scheduled tasks, and IM bridges. | JavaScript | 20 stars | NOASSERTION | https://github.com/hydroCoderClaud/cc-desktop
118. OpenImagingLab/InstantRetouch | [CVPR 2026] InstantRetouch: Efficient and High-Fidelity Instruction-Guided Image Retouching with Bilateral Space | JavaScript | 20 stars | Apache-2.0 | https://github.com/OpenImagingLab/InstantRetouch
119. SeanWong17/Sauropsida-tree | DeepTime Sauropsida：交互式蜥形纲演化树，3D 螺旋序幕 + D3.js 动态时间树，跨越 3 亿年 | Interactive sauropsid phylogeny with 3D spiral intro & D3.js dynamic timetree spanning 300 Myr | JavaScript | 20 stars | NOASSERTION | https://github.com/SeanWong17/Sauropsida-tree
120. gravitee-io/gravitee-ui-components | 🧱 Set of UI components used across the Gravitee.io ecosystem. | JavaScript | 20 stars | Apache-2.0 | https://github.com/gravitee-io/gravitee-ui-components
121. asamuzaK/semverParser | Parse, verify, compare SemVer | JavaScript | 20 stars | MIT | https://github.com/asamuzaK/semverParser
122. anvaka/simplegrad | Simple reverse mode automatic differentiation of scalar values in javascript | JavaScript | 20 stars | MIT | https://github.com/anvaka/simplegrad
123. rhenryw/SPLASH | Secure Proxy for Live Audiovisual SHell- a CLI themed web proxy | JavaScript | 20 stars | AGPL-3.0 | https://github.com/rhenryw/SPLASH
124. Qbix/Platform | Free, open-source community platform, decentralized alternative to Big Tech. For apps that empower people and unite communities. | JavaScript | 20 stars | AGPL-3.0 | https://github.com/Qbix/Platform
125. jonathanbossenger/concilium | A web based, local or public, multi-agent orchestration dashboard. Your council of agents. | JavaScript | 20 stars | GPL-2.0 | https://github.com/jonathanbossenger/concilium
126. profullstack/qryptchat-web | Quantum-safe end-to-end encrypted chat. | JavaScript | 20 stars | MIT | https://github.com/profullstack/qryptchat-web
127. GyverLibs/GyverPush | Отправка push-уведомлений с ESP8266/ESP32 | JavaScript | 20 stars | MIT | https://github.com/GyverLibs/GyverPush
128. fabiocchetti/wide-github | Cross-browser add-on that makes GitHub wide. | JavaScript | 20 stars | GPL-3.0 | https://github.com/fabiocchetti/wide-github
129. zayokami/GenresFox | A completely open-source, high-performance, and extremely minimalist browser new tab page extension. | JavaScript | 20 stars | MIT | https://github.com/zayokami/GenresFox
130. NaturalIntelligence/fastify-xml-body-parser | Fastify plugin / module to parse XML payload / body into JS object | JavaScript | 20 stars | MIT | https://github.com/NaturalIntelligence/fastify-xml-body-parser
131. Brazzo978/T99W175-simpleadmin |  | JavaScript | 20 stars | NOASSERTION | https://github.com/Brazzo978/T99W175-simpleadmin
132. Apollon77/ioBroker.homekit-controller | Pair and control HomeKit devices directly | TypeScript | 20 stars | MIT | https://github.com/Apollon77/ioBroker.homekit-controller
133. avacocloud/avaco-deno |  | TypeScript | 20 stars | NOASSERTION | https://github.com/avacocloud/avaco-deno
134. kelani34/depguarder |  | TypeScript | 20 stars | ISC | https://github.com/kelani34/depguarder
135. Spritz-Labs/spritz | Spritz is a decentralized, permission-less and censorship resistant chat app for web3. Connect with friends using passkeys or wallets. Make HD video calls, go live to your followers, and chat freely on a decentralized network. | TypeScript | 20 stars | NOASSERTION | https://github.com/Spritz-Labs/spritz
136. saihgupr/keyboard-maestro-mcp | An MCP server for Keyboard Maestro. Manage your macros with natural language commands. | TypeScript | 20 stars | MIT | https://github.com/saihgupr/keyboard-maestro-mcp
