OpenFork Discoveries — 2026-08-14
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

1. https://github.com/PunishXIV/Questionable |  | C# | 21 stars | AGPL-3.0
165. https://github.com/arkemis-labs/puedo | ¿puedo? - Tiny JS Access Control | TypeScript | 20 stars | MIT
166. https://github.com/TIPS-SA/facturacionelectronicapy-setapi | Módulo NodeJS encargado de enviar el Documento electrónico a la SET | TypeScript | 20 stars | MIT
167. https://github.com/iamEvanYT/electron-webauthn | Add native WebAuthn/FIDO2 support to Electron using macOS AuthenticationServices framework. | TypeScript | 20 stars | MIT
168. https://github.com/scriptex/react-round-carousel | An infinitely scrollable 3D carousel component for React | TypeScript | 20 stars | MIT
169. https://github.com/naeem5877/vibedownloader-desktop | Premium Desktop YouTube Downloader with High-Quality Video & Audio Downloads for Windows, macOS, and Linux | TypeScript | 20 stars | NOASSERTION
170. https://github.com/espressif/esp-rainmaker-home | ESP RainMaker Home App | TypeScript | 20 stars | Apache-2.0
171. https://github.com/runwayml/sdk-node |  | TypeScript | 20 stars | Apache-2.0
172. https://github.com/titaniumnetwork-dev/Oxide | The official site for TitaniumNetwork, an organization dedicated to providing services related to bypassing internet censorship. Made with NextJS. | TypeScript | 20 stars | AGPL-3.0
173. https://github.com/nearform/lastlight | Self-hostable, MIT Licensed, Enterprise AI Software Factory | TypeScript | 20 stars | MIT
174. https://github.com/lifeparticle/SelectStar | ⭐️ Compare GitHub Repositories Based on the Number of Stars and Other Relevant Parameters | TypeScript | 20 stars | MIT
175. https://github.com/shehza-d/portfolio | Passion Project (Please don't copy design) | TypeScript | 20 stars | GPL-3.0
176. https://github.com/samuelweckstrom/react-dvd-screensaver | DVD-era nostalgia in React. | TypeScript | 20 stars | MIT
177. https://github.com/fasenderos/bitify | Open Source Trading Platform for building a Blockchain/FinTech cryptocurrency exchange in NodeJS | TypeScript | 20 stars | Apache-2.0
178. https://github.com/exdst/jss-astro-public | Sitecore JavaScript Software Development Kit for Astro | TypeScript | 20 stars | Apache-2.0
179. https://github.com/littlesera/LSCG |  | TypeScript | 20 stars | GPL-3.0
180. https://github.com/hermesloom/theglobalburn | The operating system for the Burning Man culture. | TypeScript | 20 stars | GPL-3.0
181. https://github.com/zitadel/react-auth | Official Zitadel auth integration for React. | TypeScript | 20 stars | NOASSERTION
